iter	Passed	Remaining
0	2	201
1	3	187
2	5	182
3	7	170
4	9	172
5	10	171
6	13	176
7	15	176
8	17	176
9	19	174
10	21	171
11	23	168
12	24	166
13	27	166
14	29	164
15	31	163
16	33	161
17	34	158
18	36	156
19	38	153
20	40	151
21	42	150
22	43	147
23	45	144
24	47	142
25	49	139
26	50	137
27	52	134
28	54	132
29	55	129
30	57	127
31	58	124
32	60	123
33	62	121
34	64	119
35	65	116
36	66	113
37	68	111
38	69	108
39	70	105
40	72	103
41	72	100
42	73	98
43	75	96
44	76	93
45	78	91
46	79	89
47	80	87
48	82	85
49	83	83
50	84	81
51	86	79
52	87	77
53	88	75
54	89	73
55	91	71
56	92	69
57	93	67
58	95	66
59	96	64
60	97	62
61	98	60
62	99	58
63	101	57
64	102	55
65	104	53
66	105	51
67	106	50
68	108	48
69	109	46
70	110	45
71	112	43
72	113	41
73	114	40
74	115	38
75	117	37
76	118	35
77	119	33
78	121	32
79	122	30
80	123	29
81	125	27
82	126	25
83	127	24
84	128	22
85	130	21
86	131	19
87	132	18
88	134	16
89	135	15
90	136	13
91	138	12
92	139	10
93	141	9
94	142	7
95	143	5
96	144	4
97	146	2
98	147	1
99	148	0
