iter	Passed	Remaining
0	148	148629
1	151	75758
2	154	51414
3	157	39248
4	161	32159
5	164	27237
6	167	23725
7	170	21097
8	172	19026
9	175	17350
10	177	15997
11	180	14843
12	182	13882
13	185	13056
14	187	12340
15	190	11710
16	192	11143
17	195	10650
18	197	10193
19	200	9801
20	202	9437
21	205	9119
22	207	8816
23	209	8533
24	212	8275
25	214	8030
26	216	7816
27	219	7607
28	221	7410
29	223	7221
30	226	7064
31	228	6910
32	231	6769
33	233	6632
34	235	6491
35	237	6362
36	239	6243
37	242	6133
38	244	6026
39	247	5934
40	249	5843
41	251	5742
42	253	5652
43	255	5561
44	258	5477
45	260	5397
46	262	5320
47	264	5241
48	266	5166
49	267	5088
50	269	5015
51	271	4941
52	272	4869
53	274	4803
54	275	4741
55	277	4679
56	279	4617
57	280	4560
58	282	4501
59	283	4443
60	285	4387
61	286	4332
62	287	4279
63	289	4228
64	290	4181
65	292	4134
66	293	4089
67	295	4044
68	296	3999
69	297	3956
70	299	3913
71	300	3873
72	301	3834
73	303	3797
74	304	3759
75	306	3724
76	307	3686
77	309	3653
78	310	3621
79	311	3586
80	313	3554
81	314	3523
82	315	3485
83	316	3455
84	318	3429
85	320	3401
86	321	3371
87	322	3346
88	324	3320
89	325	3295
90	327	3268
91	328	3246
92	330	3223
93	332	3201
94	333	3178
95	335	3156
96	336	3135
97	338	3116
98	340	3095
99	341	3072
100	342	3051
101	344	3029
102	345	3010
103	347	2990
104	348	2972
105	350	2952
106	351	2933
107	353	2916
108	354	2898
109	356	2882
110	357	2866
111	359	2849
112	360	2831
113	362	2815
114	363	2799
115	365	2782
116	366	2763
117	367	2748
118	369	2735
119	370	2719
120	372	2703
121	373	2686
122	374	2673
123	376	2659
124	377	2645
125	379	2632
126	380	2615
127	381	2601
128	383	2587
129	384	2575
130	386	2563
131	387	2549
132	389	2537
133	390	2526
134	392	2513
135	393	2500
136	394	2487
137	396	2475
138	397	2462
139	398	2450
140	400	2439
141	401	2424
142	402	2413
143	404	2402
144	405	2390
145	406	2377
146	407	2367
147	409	2356
148	410	2345
149	412	2334
150	413	2324
151	415	2315
152	416	2305
153	417	2295
154	419	2285
155	420	2275
156	421	2265
157	423	2257
158	424	2247
159	426	2237
160	427	2226
161	428	2217
162	430	2208
163	431	2199
164	432	2190
165	434	2182
166	435	2174
167	437	2165
168	438	2156
169	440	2149
170	441	2140
171	442	2132
172	444	2124
173	446	2117
174	447	2109
175	448	2101
176	450	2093
177	451	2085
178	452	2077
179	454	2068
180	455	2060
181	456	2052
182	458	2045
183	459	2038
184	461	2031
185	462	2024
186	464	2017
187	465	2010
188	466	2003
189	468	1995
190	469	1988
191	470	1981
192	472	1974
193	473	1967
194	475	1961
195	476	1956
196	478	1949
197	479	1942
198	481	1936
199	482	1929
200	483	1922
201	485	1916
202	486	1910
203	487	1903
204	489	1897
205	490	1892
206	492	1885
207	493	1880
208	495	1874
209	496	1868
210	498	1862
211	499	1856
212	500	1850
213	502	1844
214	503	1839
215	505	1834
216	506	1828
217	508	1823
218	509	1817
219	511	1811
220	512	1806
221	513	1800
222	515	1795
223	516	1789
224	517	1783
225	519	1778
226	520	1773
227	522	1767
228	523	1763
229	525	1758
230	526	1752
231	527	1747
232	529	1742
233	530	1737
234	532	1732
235	533	1727
236	535	1722
237	536	1717
238	537	1712
239	539	1707
240	540	1702
241	541	1697
242	543	1692
243	544	1687
244	546	1682
245	547	1678
246	548	1673
247	550	1668
248	551	1663
249	552	1658
250	554	1654
251	555	1649
252	556	1644
253	558	1639
254	559	1635
255	561	1630
256	562	1626
257	564	1622
258	565	1618
259	567	1614
260	568	1610
261	570	1605
262	571	1601
263	572	1597
264	574	1592
265	575	1588
266	577	1584
267	578	1579
268	579	1574
269	581	1570
270	582	1567
271	584	1563
272	585	1560
273	587	1555
274	588	1551
275	590	1548
276	591	1544
277	593	1541
278	594	1537
279	596	1533
280	598	1530
281	599	1526
282	601	1523
283	602	1519
284	604	1516
285	605	1512
286	607	1508
287	608	1505
288	610	1502
289	612	1498
290	613	1495
291	615	1491
292	616	1488
293	618	1485
294	620	1482
295	621	1479
296	623	1475
297	624	1471
298	626	1468
299	627	1464
300	629	1460
301	630	1457
302	632	1454
303	633	1450
304	634	1446
305	636	1442
306	637	1439
307	638	1435
308	640	1431
309	641	1428
310	643	1424
311	644	1421
312	645	1417
313	647	1413
314	648	1410
315	650	1407
316	651	1403
317	652	1399
318	653	1396
319	655	1392
320	656	1389
321	658	1385
322	659	1383
323	661	1380
324	663	1377
325	664	1373
326	665	1370
327	667	1366
328	668	1363
329	669	1360
330	671	1356
331	672	1353
332	674	1350
333	675	1347
334	677	1344
335	678	1340
336	679	1337
337	681	1334
338	682	1330
339	683	1327
340	685	1324
341	686	1320
342	687	1317
343	689	1314
344	690	1311
345	692	1308
346	693	1305
347	694	1301
348	695	1298
349	697	1294
350	698	1291
351	699	1287
352	700	1284
353	702	1281
354	703	1278
355	705	1275
356	706	1272
357	707	1269
358	709	1266
359	710	1263
360	711	1260
361	713	1256
362	714	1253
363	715	1250
364	716	1247
365	718	1244
366	719	1241
367	720	1238
368	722	1235
369	723	1232
370	725	1229
371	726	1226
372	728	1223
373	729	1221
374	730	1218
375	732	1215
376	733	1212
377	735	1209
378	736	1206
379	737	1204
380	739	1201
381	740	1198
382	742	1195
383	743	1192
384	744	1189
385	746	1187
386	747	1184
387	749	1182
388	750	1179
389	752	1176
390	753	1174
391	755	1171
392	756	1168
393	757	1165
394	759	1162
395	760	1159
396	761	1156
397	762	1154
398	764	1151
399	765	1148
400	767	1146
401	768	1143
402	770	1141
403	771	1138
404	773	1135
405	774	1133
406	775	1130
407	777	1127
408	778	1124
409	779	1122
410	781	1119
411	782	1117
412	784	1114
413	785	1111
414	786	1108
415	787	1106
416	789	1103
417	790	1100
418	792	1098
419	793	1095
420	795	1093
421	796	1091
422	798	1088
423	799	1086
424	801	1083
425	802	1081
426	804	1078
427	805	1076
428	807	1074
429	808	1071
430	810	1069
431	811	1067
432	813	1064
433	814	1062
434	816	1060
435	817	1058
436	819	1055
437	820	1053
438	822	1050
439	823	1048
440	825	1045
441	826	1043
442	828	1041
443	829	1038
444	831	1036
